Cod Partener,Beneficiar,categorie_contaminata,expunere_mil_lei,contragarantii,scor_serv_datorie,are_restante_peste_30_zile,total_incidente,total_incidente_majore,Este_in_interdictie,A_fost_interdictie,scor_serv_prel,mean_encode_categ_contaminata_1Y,prob_1Y_CRC,prob_1Y_no_crc,prob_1Y,stage,data_raport
`,CEDOL SRL,standard,0.21509854,172078.72,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018942991456150086,0.021404663627087678,0.018942991456150086,1,2021-10-31
10459001,AGRO-CRACIUN SRL,standard,0.06620734,39724.392,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01885661087115332,0.01990233464090071,0.01885661087115332,1,2021-10-31
1058,EDIL PROIECT SRL,cerere_plata,0.09367215,0,0,1,0,0,0,0,0,0,0.398304364990617,0.10436777204577419,0.398304364990617,3,2021-10-31
1078,ELECTRIC GROUP SRL,standard,0.69485710999999994,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01922397572175754,0.027038556479823297,0.01922397572175754,1,2021-10-31
10834569,PREST GEO-DAN SRL,standard,1.2,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.019524243047393627,0.03452343478511244,0.019524243047393627,1,2021-10-31
1089040,DUBAI EXPRES C. SRL,standard,0.112,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018883136681562232,0.02035304249210898,0.018883136681562232,1,2021-10-31
1093,ELECTRONIC INTERACTIV SRL,standard,0.02,0,0.22721798268443488,1,0,0,0,0,0.22721798268443488,0.923187279574391,0.07453422182468634,0.019457460437398873,0.07453422182468634,2,2021-10-31
10934371,PRO DANCE SHOW SRL,standard,0.08359124000000001,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018866676345523463,0.020072270167674912,0.018866676345523463,1,2021-10-31
11180403,FLABOR LICSPROD SRL,standard,0.3,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01899242142015535,0.022310420069341353,0.01899242142015535,1,2021-10-31
1130,EMVECO IMPEX SRL,cerere_plata,0.11982173000000002,0,0,1,0,0,0,0,0,0,0.3985004615665629,0.10559395818970792,0.3985004615665629,3,2021-10-31
11309568,BABY-BUSINESS SRL,standard,0.0599999,0,0.023162796857067184,1,402,396,0,1,0.023162796857067184,0.923187279574391,0.2695736481736435,0.019841996244290037,0.2695736481736435,2,2021-10-31
11487999,PROFILO-METAL PRODCOM SRL,standard,0.4728,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01909341726986277,0.024271047967067708,0.01909341726986277,1,2021-10-31
1152015,SARA SRL,standard,4.707206480000001,0,0.5,0,20,19,0,1,0.5,0.923187279574391,0.022218645867734543,0.17070012714021715,0.022218645867734543,1,2021-10-31
